Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v4' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v4): 1580050.223118
Average target simultaneity: 0.8569
  Iter 0: Obj=1580050.931272 (Fit: 1580050.223118, Reg: 0.708153) | LR: 0.000000
  Iter 200: Obj=28082.221430 (Fit: 28076.715229, Reg: 5.506201) | LR: 0.000019
  Iter 400: Obj=21020.439705 (Fit: 21012.210345, Reg: 8.229360) | LR: 0.000023
  Iter 600: Obj=20016.983329 (Fit: 20007.809095, Reg: 9.174233) | LR: 0.000024
  Iter 800: Obj=19776.572700 (Fit: 19767.022962, Reg: 9.549737) | LR: 0.000024
  Iter 1000: Obj=19691.743979 (Fit: 19682.007961, Reg: 9.736018) | LR: 0.000024
  Iter 1200: Obj=19642.411830 (Fit: 19632.532340, Reg: 9.879490) | LR: 0.000024
  Iter 1400: Obj=19608.850586 (Fit: 19598.855666, Reg: 9.994920) | LR: 0.000024
  Iter 1600: Obj=19590.321138 (Fit: 19580.249037, Reg: 10.072101) | LR: 0.000024
  Iter 1800: Obj=19578.203575 (Fit: 19568.071201, Reg: 10.132374) | LR: 0.000024
Final Error: 19571.993354

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
5633->5545           | 390   | 0.4759       | 0.4801       | 0.0042    
5545->5310           | 389   | 0.4759       | 0.4806       | 0.0047    
5310->6329           | 388   | 0.4759       | 0.4819       | 0.0060    
6329->5557           | 387   | 0.4759       | 0.4824       | 0.0066    
5557->6112           | 385   | 0.4759       | 0.4849       | 0.0090    
6112->6058           | 384   | 0.4759       | 0.4853       | 0.0094    
6058->4963           | 383   | 0.4759       | 0.4863       | 0.0104    
4963->6263           | 346   | 0.4759       | 0.4776       | 0.0017    
6263->5551           | 345   | 0.4759       | 0.4783       | 0.0024    
5551->5977           | 344   | 0.4759       | 0.4795       | 0.0036    
5977->5690           | 343   | 0.4759       | 0.4801       | 0.0043    
5690->5034           | 342   | 0.4759       | 0.4811       | 0.0052    
5034->5832           | 338   | 0.4759       | 0.4808       | 0.0050    
5832->6167           | 337   | 0.4759       | 0.4818       | 0.0060    
6167->5898           | 336   | 0.4759       | 0.4833       | 0.0074    
5898->5928           | 335   | 0.4759       | 0.4857       | 0.0098    
5928->6247           | 334   | 0.4759       | 0.4864       | 0.0105    
6247->5033           | 333   | 0.4759       | 0.4873       | 0.0114    
5033->6143           | 332   | 0.4759       | 0.4882       | 0.0123    
6143->6301           | 331   | 0.4759       | 0.4897       | 0.0138    
6301->5032           | 330   | 0.4759       | 0.4904       | 0.0146    
5032->5031           | 329   | 0.4759       | 0.4916       | 0.0157    
5031->5178           | 329   | 0.4759       | 0.4916       | 0.0157    
5178->5066           | 329   | 0.4759       | 0.4916       | 0.0157    
5066->5065           | 324   | 0.4759       | 0.4914       | 0.0155    
5065->5901           | 324   | 0.4759       | 0.4914       | 0.0155    
5901->6070           | 323   | 0.4759       | 0.4939       | 0.0180    
6070->5880           | 322   | 0.4759       | 0.4945       | 0.0186    
5880->5064           | 321   | 0.4759       | 0.4950       | 0.0191    
5064->6082           | 314   | 0.4759       | 0.4976       | 0.0217    
