Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v4' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v4): 1580050.223118
Average target simultaneity: 0.8569
  Iter 0: Obj=1580050.931272 (Fit: 1580050.223118, Reg: 0.708153) | LR: 0.000000
  Iter 200: Obj=28082.221430 (Fit: 28076.715229, Reg: 5.506201) | LR: 0.000019
  Iter 400: Obj=21020.439705 (Fit: 21012.210345, Reg: 8.229360) | LR: 0.000023
  Iter 600: Obj=20016.983329 (Fit: 20007.809095, Reg: 9.174233) | LR: 0.000024
  Iter 800: Obj=19776.572700 (Fit: 19767.022962, Reg: 9.549737) | LR: 0.000024
  Iter 1000: Obj=19691.743979 (Fit: 19682.007961, Reg: 9.736018) | LR: 0.000024
  Iter 1200: Obj=19642.411830 (Fit: 19632.532340, Reg: 9.879490) | LR: 0.000024
  Iter 1400: Obj=19608.850586 (Fit: 19598.855666, Reg: 9.994920) | LR: 0.000024
  Iter 1600: Obj=19590.321138 (Fit: 19580.249037, Reg: 10.072101) | LR: 0.000024
  Iter 1800: Obj=19578.203575 (Fit: 19568.071201, Reg: 10.132374) | LR: 0.000024
Final Error: 19571.993354

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
5237->5502           | 27    | 0.8749       | 0.6588       | -0.2161   
7605->7182           | 27    | 0.8749       | 0.8474       | -0.0276   
7845->7830           | 27    | 0.8749       | 0.7747       | -0.1002   
5496->5788           | 26    | 0.8813       | 0.8083       | -0.0730   
5841->6335           | 26    | 0.8813       | 0.7770       | -0.1043   
5502->5238           | 26    | 0.8813       | 0.6862       | -0.1951   
5238->5239           | 26    | 0.8813       | 0.6862       | -0.1951   
5239->5240           | 26    | 0.8813       | 0.6862       | -0.1951   
7182->7548           | 26    | 0.8813       | 0.8524       | -0.0289   
7830->7960           | 26    | 0.8813       | 0.7905       | -0.0908   
4961->5594           | 25    | 0.8876       | 0.7221       | -0.1656   
5788->5569           | 25    | 0.8876       | 0.8293       | -0.0583   
5154->5421           | 25    | 0.8876       | 0.7011       | -0.1865   
6335->5526           | 25    | 0.8876       | 0.7852       | -0.1024   
7548->7270           | 25    | 0.8876       | 0.8651       | -0.0225   
6890->7055           | 25    | 0.8876       | 0.6560       | -0.2317   
6890->7745           | 25    | 0.8876       | 0.5066       | -0.3810   
7055->7739           | 25    | 0.8876       | 0.6560       | -0.2317   
7960->7787           | 25    | 0.8876       | 0.8064       | -0.0812   
5594->5508           | 24    | 0.8940       | 0.7313       | -0.1627   
5569->5216           | 24    | 0.8940       | 0.8529       | -0.0411   
5421->5693           | 24    | 0.8940       | 0.7307       | -0.1633   
5526->5469           | 24    | 0.8940       | 0.7988       | -0.0951   
7270->7419           | 24    | 0.8940       | 0.9028       | 0.0088    
7745->7851           | 24    | 0.8940       | 0.5330       | -0.3610   
7739->7688           | 24    | 0.8940       | 0.6766       | -0.2174   
7787->7781           | 24    | 0.8940       | 0.8152       | -0.0788   
5508->6001           | 23    | 0.9003       | 0.7373       | -0.1630   
5693->5877           | 23    | 0.9003       | 0.7795       | -0.1208   
5469->5114           | 23    | 0.9003       | 0.8306       | -0.0697   
7419->7189           | 23    | 0.9003       | 0.9070       | 0.0067    
7851->7757           | 23    | 0.9003       | 0.5434       | -0.3569   
7688->7056           | 23    | 0.9003       | 0.6943       | -0.2060   
7781->7784           | 23    | 0.9003       | 0.8468       | -0.0535   
4983->5835           | 22    | 0.9066       | 0.6866       | -0.2200   
6001->5389           | 22    | 0.9066       | 0.7474       | -0.1592   
5877->5358           | 22    | 0.9066       | 0.8274       | -0.0792   
7189->7555           | 22    | 0.9066       | 0.9074       | 0.0008    
7757->6917           | 22    | 0.9066       | 0.6285       | -0.2781   
7056->7771           | 22    | 0.9066       | 0.7191       | -0.1875   
6917->7823           | 22    | 0.9066       | 0.6285       | -0.2781   
7784->6899           | 22    | 0.9066       | 0.9041       | -0.0025   
6899->6960           | 22    | 0.9066       | 0.9041       | -0.0025   
5835->5016           | 21    | 0.9128       | 0.7153       | -0.1975   
5389->5021           | 21    | 0.9128       | 0.7611       | -0.1517   
5021->6124           | 21    | 0.9128       | 0.7611       | -0.1517   
5358->5886           | 21    | 0.9128       | 0.8916       | -0.0212   
6884->6861           | 21    | 0.9128       | 0.8186       | -0.0942   
6861->7666           | 21    | 0.9128       | 0.8186       | -0.0942   
7555->7170           | 21    | 0.9128       | 0.9094       | -0.0034   
7771->7057           | 21    | 0.9128       | 0.7501       | -0.1628   
7823->7911           | 21    | 0.9128       | 0.6449       | -0.2679   
6124->5022           | 20    | 0.9190       | 0.7713       | -0.1477   
5022->5319           | 20    | 0.9190       | 0.7713       | -0.1477   
5886->5127           | 20    | 0.9190       | 0.9474       | 0.0284    
5114->5115           | 20    | 0.9190       | 0.8572       | -0.0618   
5115->6266           | 20    | 0.9190       | 0.8572       | -0.0618   
7666->7349           | 20    | 0.9190       | 0.9016       | -0.0174   
7170->7331           | 20    | 0.9190       | 0.9103       | -0.0087   
7057->7058           | 20    | 0.9190       | 0.7787       | -0.1403   
7911->7691           | 20    | 0.9190       | 0.6642       | -0.2548   
7058->7920           | 20    | 0.9190       | 0.7787       | -0.1403   
5016->5523           | 19    | 0.9251       | 0.7682       | -0.1569   
5319->6055           | 19    | 0.9251       | 0.7877       | -0.1374   
5216->6281           | 19    | 0.9251       | 0.8658       | -0.0593   
5194->5053           | 19    | 0.9251       | 0.7598       | -0.1653   
5053->5935           | 19    | 0.9251       | 0.7598       | -0.1653   
6266->6149           | 19    | 0.9251       | 0.8907       | -0.0344   
7349->7676           | 19    | 0.9251       | 0.9296       | 0.0045    
7331->7361           | 19    | 0.9251       | 0.9257       | 0.0006    
7691->6918           | 19    | 0.9251       | 0.7011       | -0.2240   
7920->7984           | 19    | 0.9251       | 0.8119       | -0.1132   
5523->5618           | 18    | 0.9311       | 0.8301       | -0.1010   
6055->5411           | 18    | 0.9311       | 0.7976       | -0.1335   
6281->6194           | 18    | 0.9311       | 0.8761       | -0.0551   
5935->5715           | 18    | 0.9311       | 0.8042       | -0.1269   
6149->5828           | 18    | 0.9311       | 0.9055       | -0.0257   
7676->6862           | 18    | 0.9311       | 0.9325       | 0.0014    
6862->7596           | 18    | 0.9311       | 0.9325       | 0.0014    
7361->7654           | 18    | 0.9311       | 0.9398       | 0.0086    
6918->7863           | 18    | 0.9311       | 0.7435       | -0.1876   
7984->7880           | 18    | 0.9311       | 0.8699       | -0.0612   
6960->6947           | 18    | 0.9311       | 0.9135       | -0.0177   
6947->6948           | 18    | 0.9311       | 0.9135       | -0.0177   
6948->6949           | 18    | 0.9311       | 0.9135       | -0.0177   
5618->4993           | 17    | 0.9370       | 0.9066       | -0.0304   
4993->5621           | 17    | 0.9370       | 0.9066       | -0.0304   
5411->6164           | 17    | 0.9370       | 0.8172       | -0.1198   
6194->5205           | 17    | 0.9370       | 0.9419       | 0.0048    
5205->6290           | 17    | 0.9370       | 0.9419       | 0.0048    
5828->5116           | 17    | 0.9370       | 0.9328       | -0.0043   
5116->6037           | 17    | 0.9370       | 0.9328       | -0.0043   
5240->6748           | 17    | 0.9370       | 0.7557       | -0.1813   
7596->7472           | 17    | 0.9370       | 0.9325       | -0.0046   
7654->7244           | 17    | 0.9370       | 0.9399       | 0.0028    
7863->7733           | 17    | 0.9370       | 0.7687       | -0.1684   
7880->7778           | 17    | 0.9370       | 0.8969       | -0.0402   
7038->6934           | 17    | 0.9370       | 0.7774       | -0.1597   
6934->7820           | 17    | 0.9370       | 0.7774       | -0.1597   
5005->4989           | 16    | 0.9428       | 0.7045       | -0.2383   
5621->5575           | 16    | 0.9428       | 0.9313       | -0.0116   
5097->5096           | 16    | 0.9428       | 0.6546       | -0.2883   
5096->5095           | 16    | 0.9428       | 0.6546       | -0.2883   
5095->5913           | 16    | 0.9428       | 0.6546       | -0.2883   
6164->5023           | 16    | 0.9428       | 0.8464       | -0.0964   
5023->5648           | 16    | 0.9428       | 0.8464       | -0.0964   
6290->5916           | 16    | 0.9428       | 0.9449       | 0.0021    
5715->5708           | 16    | 0.9428       | 0.8823       | -0.0606   
6037->5117           | 16    | 0.9428       | 0.9459       | 0.0031    
5117->5352           | 16    | 0.9428       | 0.9459       | 0.0031    
6884->6808           | 16    | 0.9428       | 0.8598       | -0.0830   
6808->7295           | 16    | 0.9428       | 0.8598       | -0.0830   
7472->7562           | 16    | 0.9428       | 0.9430       | 0.0002    
7244->7238           | 16    | 0.9428       | 0.9399       | -0.0029   
7733->7814           | 16    | 0.9428       | 0.8263       | -0.1166   
7778->7799           | 16    | 0.9428       | 0.9332       | -0.0097   
7820->7951           | 16    | 0.9428       | 0.8000       | -0.1429   
4989->5539           | 15    | 0.9485       | 0.7738       | -0.1747   
5575->5998           | 15    | 0.9485       | 0.9458       | -0.0027   
5913->5475           | 15    | 0.9485       | 0.7154       | -0.2331   
5648->5763           | 15    | 0.9485       | 0.8510       | -0.0975   
5127->6181           | 15    | 0.9485       | 0.9319       | -0.0165   
5916->5862           | 15    | 0.9485       | 0.9453       | -0.0032   
5708->5563           | 15    | 0.9485       | 0.9023       | -0.0462   
5352->5727           | 15    | 0.9485       | 0.9491       | 0.0006    
7295->7428           | 15    | 0.9485       | 0.8772       | -0.0713   
6776->6834           | 15    | 0.9485       | 0.5814       | -0.3671   
6834->6833           | 15    | 0.9485       | 0.5814       | -0.3671   
6833->7232           | 15    | 0.9485       | 0.5814       | -0.3671   
7562->7407           | 15    | 0.9485       | 0.9516       | 0.0031    
7238->7438           | 15    | 0.9485       | 0.9406       | -0.0079   
7814->6919           | 15    | 0.9485       | 0.9489       | 0.0004    
7799->7742           | 15    | 0.9485       | 0.9451       | -0.0034   
6919->7860           | 15    | 0.9485       | 0.9489       | 0.0004    
7951->7883           | 15    | 0.9485       | 0.8164       | -0.1321   
6949->6965           | 15    | 0.9485       | 0.9156       | -0.0329   
6965->7874           | 15    | 0.9485       | 0.9156       | -0.0329   
5539->5769           | 14    | 0.9540       | 0.8253       | -0.1287   
5998->5687           | 14    | 0.9540       | 0.9546       | 0.0006    
5475->5386           | 14    | 0.9540       | 0.8156       | -0.1384   
5763->5584           | 14    | 0.9540       | 0.8678       | -0.0862   
6181->6313           | 14    | 0.9540       | 0.9469       | -0.0071   
5862->5204           | 14    | 0.9540       | 0.9565       | 0.0025    
5563->5054           | 14    | 0.9540       | 0.9375       | -0.0165   
5054->5660           | 14    | 0.9540       | 0.9375       | -0.0165   
5727->5983           | 14    | 0.9540       | 0.9514       | -0.0026   
7428->7392           | 14    | 0.9540       | 0.9179       | -0.0361   
7232->7531           | 14    | 0.9540       | 0.6410       | -0.3130   
7407->6863           | 14    | 0.9540       | 0.9545       | 0.0005    
7438->7679           | 14    | 0.9540       | 0.9523       | -0.0017   
7742->7727           | 14    | 0.9540       | 0.9509       | -0.0031   
7860->7035           | 14    | 0.9540       | 0.9650       | 0.0110    
7883->6935           | 14    | 0.9540       | 0.8489       | -0.1051   
6935->7694           | 14    | 0.9540       | 0.8489       | -0.1051   
7874->7810           | 14    | 0.9540       | 0.9305       | -0.0234   
4941->4927           | 13    | 0.9593       | 0.7622       | -0.1971   
4927->5734           | 13    | 0.9593       | 0.7622       | -0.1971   
5769->5424           | 13    | 0.9593       | 0.8832       | -0.0761   
5687->5663           | 13    | 0.9593       | 0.9611       | 0.0018    
5386->6052           | 13    | 0.9593       | 0.9170       | -0.0423   
5584->5889           | 13    | 0.9593       | 0.9215       | -0.0378   
6313->5505           | 13    | 0.9593       | 0.9597       | 0.0004    
5204->5499           | 13    | 0.9593       | 0.9565       | -0.0028   
5660->6244           | 13    | 0.9593       | 0.9517       | -0.0076   
5983->5118           | 13    | 0.9593       | 0.9608       | 0.0016    
5118->5655           | 13    | 0.9593       | 0.9608       | 0.0016    
7392->6809           | 13    | 0.9593       | 0.9566       | -0.0027   
6809->7413           | 13    | 0.9593       | 0.9566       | -0.0027   
7531->7491           | 13    | 0.9593       | 0.7111       | -0.2482   
6863->7448           | 13    | 0.9593       | 0.9574       | -0.0019   
7679->7454           | 13    | 0.9593       | 0.9596       | 0.0003    
7694->7957           | 13    | 0.9593       | 0.9379       | -0.0214   
7810->6966           | 13    | 0.9593       | 0.9696       | 0.0103    
6966->7917           | 13    | 0.9593       | 0.9696       | 0.0103    
7114->7107           | 12    | 0.9644       | 0.7353       | -0.2291   
7107->7503           | 12    | 0.9644       | 0.7353       | -0.2291   
5734->5932           | 12    | 0.9644       | 0.8140       | -0.1504   
5663->5944           | 12    | 0.9644       | 0.9658       | 0.0014    
6052->5669           | 12    | 0.9644       | 0.9597       | -0.0047   
5889->5284           | 12    | 0.9644       | 0.9668       | 0.0024    
5505->5126           | 12    | 0.9644       | 0.9651       | 0.0006    
5126->5125           | 12    | 0.9644       | 0.9651       | 0.0006    
6244->5597           | 12    | 0.9644       | 0.9676       | 0.0032    
5655->5959           | 12    | 0.9644       | 0.9634       | -0.0010   
7491->7568           | 12    | 0.9644       | 0.8251       | -0.1393   
7448->6864           | 12    | 0.9644       | 0.9638       | -0.0006   
6864->7248           | 12    | 0.9644       | 0.9638       | -0.0006   
7454->7599           | 12    | 0.9644       | 0.9733       | 0.0089    
7727->7685           | 12    | 0.9644       | 0.9686       | 0.0042    
7957->7870           | 12    | 0.9644       | 0.9686       | 0.0042    
7917->7002           | 12    | 0.9644       | 0.9747       | 0.0103    
7503->7374           | 11    | 0.9693       | 0.8321       | -0.1372   
5932->5746           | 11    | 0.9693       | 0.8431       | -0.1262   
5424->6238           | 11    | 0.9693       | 0.9586       | -0.0107   
5944->5779           | 11    | 0.9693       | 0.9703       | 0.0010    
5669->5376           | 11    | 0.9693       | 0.9727       | 0.0034    
5284->5408           | 11    | 0.9693       | 0.9729       | 0.0036    
5499->5953           | 11    | 0.9693       | 0.9724       | 0.0031    
5125->6130           | 11    | 0.9693       | 0.9708       | 0.0015    
5597->6347           | 11    | 0.9693       | 0.9734       | 0.0041    
5959->5119           | 11    | 0.9693       | 0.9702       | 0.0009    
7413->7276           | 11    | 0.9693       | 0.9752       | 0.0059    
7568->7541           | 11    | 0.9693       | 0.8603       | -0.1090   
7248->7334           | 11    | 0.9693       | 0.9676       | -0.0017   
7599->7624           | 11    | 0.9693       | 0.9737       | 0.0044    
7035->6920           | 11    | 0.9693       | 0.9644       | -0.0049   
7685->7730           | 11    | 0.9693       | 0.9734       | 0.0041    
6920->7903           | 11    | 0.9693       | 0.9644       | -0.0049   
7870->7718           | 11    | 0.9693       | 0.9730       | 0.0037    
7374->7445           | 10    | 0.9740       | 0.9518       | -0.0222   
4905->4888           | 10    | 0.9740       | 0.8026       | -0.1714   
4888->5427           | 10    | 0.9740       | 0.8026       | -0.1714   
5746->6304           | 10    | 0.9740       | 0.8736       | -0.1004   
6238->5367           | 10    | 0.9740       | 0.9756       | 0.0016    
5779->5517           | 10    | 0.9740       | 0.9740       | 0.0001    
5376->6173           | 10    | 0.9740       | 0.9747       | 0.0007    
5408->6019           | 10    | 0.9740       | 0.9771       | 0.0032    
5953->5203           | 10    | 0.9740       | 0.9735       | -0.0004   
5203->5493           | 10    | 0.9740       | 0.9735       | -0.0004   
6130->6310           | 10    | 0.9740       | 0.9720       | -0.0019   
6347->5055           | 10    | 0.9740       | 0.9775       | 0.0036    
5055->5056           | 10    | 0.9740       | 0.9775       | 0.0036    
5056->6178           | 10    | 0.9740       | 0.9775       | 0.0036    
7276->7263           | 10    | 0.9740       | 0.9767       | 0.0028    
7541->7416           | 10    | 0.9740       | 0.9662       | -0.0078   
7334->6865           | 10    | 0.9740       | 0.9752       | 0.0013    
7624->6813           | 10    | 0.9740       | 0.9751       | 0.0011    
7730->7059           | 10    | 0.9740       | 0.9767       | 0.0027    
7903->7948           | 10    | 0.9740       | 0.9702       | -0.0037   
7718->7887           | 10    | 0.9740       | 0.9774       | 0.0035    
7445->7140           | 9     | 0.9783       | 0.9835       | 0.0052    
5427->5448           | 9     | 0.9783       | 0.8824       | -0.0960   
6304->6031           | 9     | 0.9783       | 0.9081       | -0.0702   
5367->6136           | 9     | 0.9783       | 0.9824       | 0.0040    
5517->5466           | 9     | 0.9783       | 0.9783       | -0.0000   
6173->5094           | 9     | 0.9783       | 0.9787       | 0.0004    
5094->5606           | 9     | 0.9783       | 0.9787       | 0.0004    
5194->5183           | 9     | 0.9783       | 0.8242       | -0.1542   
5183->5182           | 9     | 0.9783       | 0.8242       | -0.1542   
6019->5024           | 9     | 0.9783       | 0.9771       | -0.0013   
5024->5442           | 9     | 0.9783       | 0.9771       | -0.0013   
5493->5490           | 9     | 0.9783       | 0.9768       | -0.0016   
6310->5588           | 9     | 0.9783       | 0.9788       | 0.0005    
6178->5057           | 9     | 0.9783       | 0.9870       | 0.0086    
5057->5084           | 9     | 0.9783       | 0.9870       | 0.0086    
5240->5241           | 9     | 0.9783       | 0.5973       | -0.3810   
5241->7587           | 9     | 0.9783       | 0.5973       | -0.3810   
6748->6749           | 9     | 0.9783       | 0.7271       | -0.2512   
6749->7325           | 9     | 0.9783       | 0.7271       | -0.2512   
7263->7346           | 9     | 0.9783       | 0.9780       | -0.0004   
7416->7404           | 9     | 0.9783       | 0.9806       | 0.0022    
7059->7721           | 9     | 0.9783       | 0.9790       | 0.0007    
7948->7945           | 9     | 0.9783       | 0.9785       | 0.0002    
7887->7939           | 9     | 0.9783       | 0.9803       | 0.0020    
7140->7220           | 8     | 0.9824       | 0.9854       | 0.0029    
4905->6215           | 8     | 0.9824       | 0.7175       | -0.2650   
5448->5627           | 8     | 0.9824       | 0.9740       | -0.0084   
6031->5349           | 8     | 0.9824       | 0.9337       | -0.0488   
6136->5919           | 8     | 0.9824       | 0.9855       | 0.0031    
5466->6341           | 8     | 0.9824       | 0.9821       | -0.0003   
5606->6007           | 8     | 0.9824       | 0.9831       | 0.0007    
5182->5181           | 8     | 0.9824       | 0.9251       | -0.0574   
5181->5956           | 8     | 0.9824       | 0.9251       | -0.0574   
5442->5025           | 8     | 0.9824       | 0.9825       | 0.0001    
5490->5202           | 8     | 0.9824       | 0.9821       | -0.0003   
5588->5124           | 8     | 0.9824       | 0.9823       | -0.0001   
5025->5026           | 8     | 0.9824       | 0.9825       | 0.0001    
5202->5307           | 8     | 0.9824       | 0.9821       | -0.0003   
5124->5463           | 8     | 0.9824       | 0.9823       | -0.0001   
5026->5364           | 8     | 0.9824       | 0.9825       | 0.0001    
5119->5950           | 8     | 0.9824       | 0.9808       | -0.0016   
6748->7510           | 8     | 0.9824       | 0.7881       | -0.1943   
7587->6025           | 8     | 0.9824       | 0.6409       | -0.3415   
7325->7208           | 8     | 0.9824       | 0.8774       | -0.1050   
7346->7657           | 8     | 0.9824       | 0.9823       | -0.0001   
7404->7380           | 8     | 0.9824       | 0.9886       | 0.0062    
6865->6866           | 8     | 0.9824       | 0.9825       | 0.0001    
6866->6867           | 8     | 0.9824       | 0.9825       | 0.0001    
7721->7932           | 8     | 0.9824       | 0.9808       | -0.0016   
7945->7748           | 8     | 0.9824       | 0.9833       | 0.0008    
7939->7987           | 8     | 0.9824       | 0.9815       | -0.0009   
7117->7377           | 7     | 0.9862       | 0.7516       | -0.2346   
7220->7195           | 7     | 0.9862       | 0.9882       | 0.0020    
6215->5740           | 7     | 0.9862       | 0.7900       | -0.1962   
5627->6272           | 7     | 0.9862       | 0.9877       | 0.0015    
5349->5759           | 7     | 0.9862       | 0.9483       | -0.0379   
5919->5838           | 7     | 0.9862       | 0.9873       | 0.0011    
6341->4992           | 7     | 0.9862       | 0.9860       | -0.0002   
6007->6097           | 7     | 0.9862       | 0.9843       | -0.0019   
5956->5180           | 7     | 0.9862       | 0.9841       | -0.0021   
5180->6100           | 7     | 0.9862       | 0.9841       | -0.0021   
5307->5743           | 7     | 0.9862       | 0.9850       | -0.0012   
5463->5123           | 7     | 0.9862       | 0.9861       | -0.0001   
5364->5971           | 7     | 0.9862       | 0.9877       | 0.0015    
5123->5398           | 7     | 0.9862       | 0.9861       | -0.0001   
5950->5756           | 7     | 0.9862       | 0.9864       | 0.0002    
6881->7340           | 7     | 0.9862       | 0.5551       | -0.4311   
7510->7079           | 7     | 0.9862       | 0.8101       | -0.1761   
6025->5529           | 7     | 0.9862       | 0.8306       | -0.1556   
7079->7078           | 7     | 0.9862       | 0.8101       | -0.1761   
7208->6750           | 7     | 0.9862       | 0.9222       | -0.0640   
7078->7602           | 7     | 0.9862       | 0.8101       | -0.1761   
7657->7192           | 7     | 0.9862       | 0.9847       | -0.0015   
6757->6848           | 7     | 0.9862       | 0.5200       | -0.4662   
6848->7660           | 7     | 0.9862       | 0.5200       | -0.4662   
7380->7198           | 7     | 0.9862       | 0.9915       | 0.0053    
6813->7645           | 7     | 0.9862       | 0.9723       | -0.0139   
6867->7528           | 7     | 0.9862       | 0.9860       | -0.0002   
7038->7021           | 7     | 0.9862       | 0.5928       | -0.3934   
7021->7980           | 7     | 0.9862       | 0.5928       | -0.3934   
7932->7736           | 7     | 0.9862       | 0.9860       | -0.0002   
7748->6921           | 7     | 0.9862       | 0.9865       | 0.0003    
6921->7712           | 7     | 0.9862       | 0.9865       | 0.0003    
7987->7977           | 7     | 0.9862       | 0.9860       | -0.0002   
7377->7108           | 6     | 0.9896       | 0.8311       | -0.1585   
7108->7125           | 6     | 0.9896       | 0.8311       | -0.1585   
7125->7235           | 6     | 0.9896       | 0.8311       | -0.1585   
7195->7307           | 6     | 0.9896       | 0.9907       | 0.0011    
5740->4887           | 6     | 0.9896       | 0.8813       | -0.1083   
4887->6091           | 6     | 0.9896       | 0.8813       | -0.1083   
6272->5865           | 6     | 0.9896       | 0.9939       | 0.0042    
5759->5542           | 6     | 0.9896       | 0.9561       | -0.0336   
5838->5731           | 6     | 0.9896       | 0.9890       | -0.0006   
4992->4991           | 6     | 0.9896       | 0.9893       | -0.0003   
6097->5331           | 6     | 0.9896       | 0.9888       | -0.0009   
6100->5532           | 6     | 0.9896       | 0.9917       | 0.0021    
5743->5201           | 6     | 0.9896       | 0.9903       | 0.0006    
5971->5027           | 6     | 0.9896       | 0.9885       | -0.0011   
5201->5379           | 6     | 0.9896       | 0.9903       | 0.0006    
5027->5560           | 6     | 0.9896       | 0.9885       | -0.0011   
5756->5223           | 6     | 0.9896       | 0.9898       | 0.0001    
5223->5965           | 6     | 0.9896       | 0.9898       | 0.0001    
7340->7469           | 6     | 0.9896       | 0.8963       | -0.0933   
6750->6751           | 6     | 0.9896       | 0.9929       | 0.0033    
7602->7279           | 6     | 0.9896       | 0.9846       | -0.0050   
7192->6810           | 6     | 0.9896       | 0.9900       | 0.0004    
6810->7618           | 6     | 0.9896       | 0.9900       | 0.0004    
7660->7558           | 6     | 0.9896       | 0.5978       | -0.3918   
7198->7516           | 6     | 0.9896       | 0.9911       | 0.0015    
7645->7571           | 6     | 0.9896       | 0.9878       | -0.0019   
7528->7648           | 6     | 0.9896       | 0.9889       | -0.0007   
7980->7963           | 6     | 0.9896       | 0.7759       | -0.2137   
7736->7923           | 6     | 0.9896       | 0.9894       | -0.0003   
7712->7890           | 6     | 0.9896       | 0.9885       | -0.0011   
7977->7804           | 6     | 0.9896       | 0.9870       | -0.0026   
7002->6988           | 6     | 0.9896       | 0.9804       | -0.0092   
7002->7760           | 6     | 0.9896       | 0.9672       | -0.0224   
7235->7364           | 5     | 0.9927       | 0.9335       | -0.0591   
7307->7565           | 5     | 0.9927       | 0.9915       | -0.0012   
5865->5436           | 5     | 0.9927       | 0.9956       | 0.0029    
4891->6022           | 5     | 0.9927       | 0.5799       | -0.4128   
5542->4949           | 5     | 0.9927       | 1.0000       | 0.0073    
5731->5775           | 5     | 0.9927       | 0.9912       | -0.0014   
5331->6073           | 5     | 0.9927       | 0.9916       | -0.0011   
5127->5159           | 5     | 0.9927       | 0.9703       | -0.0223   
5159->5160           | 5     | 0.9927       | 0.9703       | -0.0223   
5532->5179           | 5     | 0.9927       | 0.9942       | 0.0015    
5179->6076           | 5     | 0.9927       | 0.9942       | 0.0015    
5398->5451           | 5     | 0.9927       | 0.9927       | -0.0000   
5379->6207           | 5     | 0.9927       | 0.9931       | 0.0004    
5066->5892           | 5     | 0.9927       | 0.5119       | -0.4808   
5560->6061           | 5     | 0.9927       | 0.9928       | 0.0001    
5064->5370           | 5     | 0.9927       | 0.5632       | -0.4295   
5965->5222           | 5     | 0.9927       | 0.9936       | 0.0009    
6827->7519           | 5     | 0.9927       | 0.5058       | -0.4868   
7469->7639           | 5     | 0.9927       | 0.9603       | -0.0324   
5529->6307           | 5     | 0.9927       | 0.9869       | -0.0058   
6751->6752           | 5     | 0.9927       | 0.9956       | 0.0029    
7279->7077           | 5     | 0.9927       | 0.9939       | 0.0013    
7077->7076           | 5     | 0.9927       | 0.9939       | 0.0013    
7076->7319           | 5     | 0.9927       | 0.9939       | 0.0013    
7618->7367           | 5     | 0.9927       | 0.9918       | -0.0009   
7558->7313           | 5     | 0.9927       | 0.7191       | -0.2736   
7516->7160           | 5     | 0.9927       | 0.9918       | -0.0009   
7571->6832           | 5     | 0.9927       | 0.9959       | 0.0032    
7648->7257           | 5     | 0.9927       | 0.9927       | 0.0000    
7038->7020           | 5     | 0.9927       | 0.7172       | -0.2755   
7020->7793           | 5     | 0.9927       | 0.7172       | -0.2755   
7963->7703           | 5     | 0.9927       | 0.9783       | -0.0144   
7923->7936           | 5     | 0.9927       | 0.9924       | -0.0003   
7890->7836           | 5     | 0.9927       | 0.9930       | 0.0003    
7804->6936           | 5     | 0.9927       | 0.9928       | 0.0001    
6936->6937           | 5     | 0.9927       | 0.9928       | 0.0001    
6937->7893           | 5     | 0.9927       | 0.9928       | 0.0001    
7364->7630           | 4     | 0.9953       | 0.9818       | -0.0135   
7565->7682           | 4     | 0.9953       | 0.9951       | -0.0002   
6091->4886           | 4     | 0.9953       | 0.9920       | -0.0033   
4886->6146           | 4     | 0.9953       | 0.9920       | -0.0033   
5436->4889           | 4     | 0.9953       | 0.9954       | 0.0001    
6022->6224           | 4     | 0.9953       | 0.6851       | -0.3102   
5775->6257           | 4     | 0.9953       | 0.9941       | -0.0012   
4991->5313           | 4     | 0.9953       | 0.9949       | -0.0005   
5216->5609           | 4     | 0.9953       | 0.9043       | -0.0911   
6073->5904           | 4     | 0.9953       | 0.9954       | 0.0000    
5160->5938           | 4     | 0.9953       | 0.9930       | -0.0023   
5451->5122           | 4     | 0.9953       | 0.9953       | -0.0000   
6207->5572           | 4     | 0.9953       | 0.9946       | -0.0007   
5892->5030           | 4     | 0.9953       | 0.6122       | -0.3831   
6061->5028           | 4     | 0.9953       | 0.9955       | 0.0001    
5370->5346           | 4     | 0.9953       | 0.7260       | -0.2693   
5222->5415           | 4     | 0.9953       | 0.9951       | -0.0002   
7519->7475           | 4     | 0.9953       | 0.7549       | -0.2405   
6784->7673           | 4     | 0.9953       | 0.6223       | -0.3730   
7639->7484           | 4     | 0.9953       | 0.9999       | 0.0045    
6307->7254           | 4     | 0.9953       | 0.9993       | 0.0040    
6752->6753           | 4     | 0.9953       | 0.9974       | 0.0021    
7319->7075           | 4     | 0.9953       | 0.9968       | 0.0015    
